grdid,all_ihs_dist_km_sog_gt01,all_ihs_dist_km_sog_gt10,boem_ihs_dist_km_sog_gt01,boem_ihs_dist_km_sog_gt10
9065,584.29,121.69000000000003,507.64,66.97600000000001
9066,84542.291,49227.97199999998,38859.455,21258.285999999996
9067,147944.60100000002,87967.09000000003,58408.342000000004,30402.361
9068,74275.257,47643.85800000001,30881.507999999994,16827.542
9069,7917.692999999999,3215.038,6165.579000000001,2228.744
9070,4127.177000000001,1531.892,3851.7600000000016,1373.643
9071,5259.790000000002,1263.9379999999996,4784.386,1105.7140000000002
9072,6400.17,1249.5909999999994,6003.332,1116.5199999999998
9073,3758.2499999999995,1106.7860000000003,3562.243,1012.6690000000003
9074,2072.79,1051.468,1914.3480000000004,952.1720000000001
9075,1856.5229999999997,934.9309999999998,1599.9919999999997,774.345
9076,8859.931,7410.867000000001,3081.5340000000006,2045.1819999999996
9077,9625.520999999995,8452.433999999997,2744.4439999999995,2140.515999999999
9078,1582.4169999999997,926.688,1275.996,720.456
9079,1567.564,903.125,1169.4539999999997,678.2460000000001
9080,1851.249,1118.5130000000001,1184.932,773.2240000000002
9081,1398.0600000000002,1003.3329999999999,895.8530000000001,648.5640000000001
9082,1216.4650000000001,933.9030000000002,664.9640000000003,458.3060000000001
9083,1394.511,1085.011,518.873,328.77299999999997
9084,1373.144,1061.354,504.79499999999996,296.85400000000004
9085,1457.9360000000001,1070.19,548.6770000000002,291.76
9086,1847.8600000000006,1208.2809999999997,1358.1500000000003,822.4729999999998
9087,4096.873999999999,2554.4519999999984,2453.2200000000003,1282.1139999999998
9088,11384.949,8339.105999999998,5895.089999999999,3852.6549999999993
9089,21847.236999999997,17558.985999999997,10271.329000000002,7601.448
9090,259987.57999999996,242175.658,90130.632,83515.46999999999
9091,27491.046000000002,23849.42199999999,8781.435,7359.655999999999
9092,23709.060999999987,20821.661999999997,7332.358000000001,6462.623
9093,23593.27099999999,20695.971000000005,7337.8139999999985,6367.3
9094,23539.069999999996,20588.78700000001,7388.492000000001,6373.450999999999
9095,23746.844,20881.609,7457.0380000000005,6502.818999999998
9096,24841.562,21801.414999999994,8456.993000000002,7320.562000000002
9097,24177.146999999997,21291.518000000004,7682.853999999998,6699.7300000000005
9098,24939.941000000006,21907.405,8339.710000000001,7191.874999999999
9099,25551.831999999995,22373.53099999999,8752.627000000002,7495.394999999999
9100,26813.897,22385.987999999994,10001.042000000001,7490.034999999999
9101,22919.976000000002,20083.387000000006,8167.993,6778.507000000001
9102,12094.442,10563.279000000002,3938.4479999999994,3238.5950000000003
9103,3819.5019999999995,2653.9309999999996,1270.499,635.8800000000002
9104,3223.1580000000004,1635.4930000000004,1886.9949999999997,528.1809999999999
9105,5701.003,3088.763,3494.116000000001,1318.88
9106,7398.744,4908.257,3812.7580000000007,1867.037
9107,57458.94299999999,52222.198999999986,17800.573999999997,15056.296999999997
9108,181182.734,171297.085,49449.06200000002,45673.31899999999
9109,89396.231,83619.90899999999,20439.392000000003,18234.734000000008
9110,41890.570999999996,38015.132999999994,8539.734,6712.251000000001
9111,19825.023000000005,16990.093000000004,6320.876000000001,4427.246999999999
9112,10519.574999999999,7000.923999999998,6165.223000000001,3081.167999999999
9113,10447.819000000001,4940.9749999999985,8258.550000000003,3118.6810000000005
9114,5281.213000000002,3445.518,3421.966999999999,1949.757
9115,3947.437,2551.68,2082.4820000000004,1140.6689999999996
9116,3192.3470000000007,2252.433000000001,1629.337,1046.1319999999998
9117,3877.3340000000003,2435.4230000000002,2580.2649999999994,1461.2679999999998
9118,4165.236,2000.0670000000002,2811.056999999999,1046.7469999999998
9119,5462.376,2201.411,3845.5270000000005,1123.277
9120,6398.067,2428.366,5178.772,1606.0490000000004
9121,12294.532999999998,5295.273999999999,11220.865000000002,4593.145000000001
9122,11327.952000000005,5147.149,10057.446000000004,4237.989000000001
9123,7266.147000000002,3704.1989999999987,5907.162000000001,2740.608999999999
9124,14073.309000000003,7627.757000000001,12841.144000000002,6731.810000000001
9125,19357.29699999999,9462.351999999995,18236.402000000002,8682.509
9126,23395.14,11885.037999999999,21031.469,9885.85
9127,30850.492999999995,19487.614999999998,22308.308,11809.948
9128,19268.734000000004,12720.576000000001,11456.317000000006,5721.920999999999
9129,20308.836000000003,11316.324999999999,17263.740999999995,8860.358000000002
9130,20184.275999999998,12187.996999999998,17739.383,10350.968999999997
9131,12336.432999999997,6605.592000000001,8929.909000000001,3936.099
9132,32008.087,25836.318999999996,11546.209999999997,7005.655
9133,12818.812999999998,8506.800000000001,6283.578999999999,2843.163
9134,7845.836999999999,4066.8650000000016,3797.588,893.5390000000001
9135,6746.543000000002,3623.53,2973.49,715.635
9136,5633.281,3641.544999999999,2051.772,783.8170000000001
9137,6009.561,4220.361999999999,1904.989,940.656
